engels	hypernym	nederlands	nederlands_alt	cat_en	cat_nl	uitspraak	notitie
oath of revenge	paladin	eed van wraak		classes	klassen		
ranger		padvinder		classes	klassen		
hunter	ranger	jager		classes	klassen		
beast master	ranger	beestentemmer		classes	klassen		
rogue		snoodaard	smiecht	classes	klassen		
thief	rogue	dief		classes	klassen		
assassin	rogue	sluipmoordenaar		classes	klassen		
arcane trickster	rogue	toverschelm		classes	klassen		
sorcerer		magiër		classes	klassen		
draconic bloodline	sorcerer	drakenbloedlijn		classes	klassen		
wild magic	sorcerer	wilde magie	ruwe magie	classes	klassen		
warlock		heks	wicca	classes	klassen		Wicca wordt soms gebruikt als de mannelijke variant van heks (en heeft dan dus dezelfde betekenis als warlock).
the archfey	warlock	de aartsfee		classes	klassen		
the fiend	warlock	de vijnd		classes	klassen		De term fiend is verwant aan het Nederlandse woord vijand. Er is in het Nederlands geen term die zowel duivels als demonen omvat, dus vijnd is een nieuw woord. Het is enigszins trouw aan de klankveranderingen tussen Nederlandse en Engelse woorden, en klinkt, naar mijn idee, voldoende gemeen.
the great old one	warlock	de grote oude		classes	klassen		
wizard		tovenaar		classes	klassen		
school of abjuration	wizard	school van abjuratie	school van afzwering	classes	klassen		Voor de meeste scholen is er zowel een latijnse term als een germaanse versie. De latijnse termen hebben een wat meer academische klank, dus welke je wilt gebruiken hangt af van de rol van magie in je setting: geleerde tovenaars zouden eerder necromantie zeggen, het gewone volk eerder dodenbezwering. Het kan natuurlijk ook dat beide termen gebruikt worden.
school of conjuration	wizard	school van conjuratie	school van oproeping	classes	klassen		Voor de meeste scholen is er zowel een latijnse term als een germaanse versie. De latijnse termen hebben een wat meer academische klank, dus welke je wilt gebruiken hangt af van de rol van magie in je setting: geleerde tovenaars zouden eerder necromantie zeggen, het gewone volk eerder dodenbezwering. Het kan natuurlijk ook dat beide termen gebruikt worden.
school of divination	wizard	school van divinatie	school van waarzeggerij	classes	klassen		Voor de meeste scholen is er zowel een latijnse term als een germaanse versie. De latijnse termen hebben een wat meer academische klank, dus welke je wilt gebruiken hangt af van de rol van magie in je setting: geleerde tovenaars zouden eerder necromantie zeggen, het gewone volk eerder dodenbezwering. Het kan natuurlijk ook dat beide termen gebruikt worden.
school of enchantment	wizard	school van bezwering		classes	klassen		
school of evocation	wizard	school van evocatie	school van opwekking	classes	klassen		Voor de meeste scholen is er zowel een latijnse term als een germaanse versie. De latijnse termen hebben een wat meer academische klank, dus welke je wilt gebruiken hangt af van de rol van magie in je setting: geleerde tovenaars zouden eerder necromantie zeggen, het gewone volk eerder dodenbezwering. Het kan natuurlijk ook dat beide termen gebruikt worden.
school of illusion	wizard	school van illusie		classes	klassen		
school of necromancy	wizard	school van necromantie	school van dodenbezwering	classes	klassen		Voor de meeste scholen is er zowel een latijnse term als een germaanse versie. De latijnse termen hebben een wat meer academische klank, dus welke je wilt gebruiken hangt af van de rol van magie in je setting: geleerde tovenaars zouden eerder necromantie zeggen, het gewone volk eerder dodenbezwering. Het kan natuurlijk ook dat beide termen gebruikt worden.
school of transmutation	wizard	school van transmutatie	school van omvorming	classes	klassen		Voor de meeste scholen is er zowel een latijnse term als een germaanse versie. De latijnse termen hebben een wat meer academische klank, dus welke je wilt gebruiken hangt af van de rol van magie in je setting: geleerde tovenaars zouden eerder necromantie zeggen, het gewone volk eerder dodenbezwering. Het kan natuurlijk ook dat beide termen gebruikt worden.
humanoid		mensachtige		creature types	soorten wezens		
giant		reus		creature types	soorten wezens		
fey		fee		creature types	soorten wezens		
fiend		vijnd		creature types	soorten wezens		De term fiend is verwant aan het Nederlandse woord vijand. Er is in het Nederlands geen term die zowel duivels als demonen omvat, dus vijnd is een nieuw woord. Het is enigszins trouw aan de klankveranderingen tussen Nederlandse en Engelse woorden, en klinkt, naar mijn idee, voldoende gemeen.
undead		ondode		creature types	soorten wezens		
monstrosity		gedrocht		creature types	soorten wezens		
abberation		verbijstering		creature types	soorten wezens		
construct		construct		creature types	soorten wezens		
elemental		elementaal		creature types	soorten wezens		
dragon		draak		creature types	soorten wezens		
ooze		slijk		creature types	soorten wezens		
plant		plant		creature types	soorten wezens		
celestial		hemelse		creature types	soorten wezens		
material plane		materiële sfeer		planes of existence	sferen van bestaan		
echo planes		echosferen		planes of existence	sferen van bestaan		
feywild	echo planes	feeënwild		planes of existence	sferen van bestaan		
shadowfell	echo planes	schaduwval		planes of existence	sferen van bestaan		
transitive planes		transitieve sferen		planes of existence	sferen van bestaan		
ethereal plane	transitive planes	etherische sfeer		planes of existence	sferen van bestaan		
astral plane	transitive planes	astrale sfeer		planes of existence	sferen van bestaan		
elemental planes		elementale sferen		planes of existence	sferen van bestaan		
plane of earth	elemental planes	sfeer van aarde		planes of existence	sferen van bestaan		
plane of fire	elemental planes	sfeer van vuur		planes of existence	sferen van bestaan		
plane of air	elemental planes	sfeer van lucht		planes of existence	sferen van bestaan		
plane of water	elemental planes	sfeer van water		planes of existence	sferen van bestaan		
outer planes		buitenste sferen		planes of existence	sferen van bestaan		
celestial	outer planes	celestië		planes of existence	sferen van bestaan		
bytopia	outer planes	bytopië		planes of existence	sferen van bestaan		
elysium	outer planes	elysion		planes of existence	sferen van bestaan		
beastlands	outer planes	de beestenlanden		planes of existence	sferen van bestaan		
arborea	outer planes	arborea		planes of existence	sferen van bestaan		
ysgard	outer planes	isgaard		planes of existence	sferen van bestaan		
limbo	outer planes	limbo		planes of existence	sferen van bestaan		De Nederlandse term voor dit concept uit Christelijke theologie is voorgeborchte. In deze context er echter niets waar het limbo “voor” staat, dus ik houd de latijnse term.
pandemonium	outer planes	pandemonium		planes of existence	sferen van bestaan		
arcadia	outer planes	arcadië		planes of existence	sferen van bestaan		
mechanus	outer planes	mechanus		planes of existence	sferen van bestaan		
archeron	outer planes	acheron		planes of existence	sferen van bestaan		
baator	outer planes	baator		planes of existence	sferen van bestaan		
gehenna	outer planes	gehenna		planes of existence	sferen van bestaan		
hades	outer planes	hades		planes of existence	sferen van bestaan		
carceri	outer planes	carceri		planes of existence	sferen van bestaan		
abyss	outer planes	het ravijn		planes of existence	sferen van bestaan		
the outlands		de buitenlanden		planes of existence	sferen van bestaan		
sigil, the city of doors	the outlands	Sigil, de stad van deuren		planes of existence	sferen van bestaan		
the far realm		het verre rijk		planes of existence	sferen van bestaan		
common		gewoon		languages	talen		
dwarvish		dwergs		languages	talen		
elvish		elfs		languages	talen		
giant		reus		languages	talen		
gnomish		kabouters		languages	talen		
goblin		gobbelins		languages	talen		
halfling		halvelings		languages	talen		
orc		orks		languages	talen		
abyssal		ravijns		languages	talen		
celestial		hemelse		languages	talen		
deep speech		diepe spraak		languages	talen		
draconic		draconisch		languages	talen		
infernal		hels		languages	talen		
primordial		oerspraak		languages	talen		
auran	primordial	luchtspraak		languages	talen		
aquan	primordial	waterspraak		languages	talen		
ignan	primordial	vuurspraak		languages	talen		
terran	primordial	aardspraak		languages	talen		
sylvan		silvaans		languages	talen		
undercommon		diepgewoon	ondergewoon	languages	talen		
the Underdark		het Donkerdiep		other	overig		
the Weave		het Weefsel		other	overig		
padded armor		wambuis		armor	harnassen		
leather armor		leren harnas		armor	harnassen		
studded leather armor		beslagen leren harnas		armor	harnassen		
hide armor		dierenvel		armor	harnassen		
chain shirt		maliënhemd	maliënkolder	armor	harnassen		Een kolder is een wambuis zonder mouwen en dus een soort hemd. Voor zover ik kan vinden is “maliënkolder” dan ook de term voor een hemd van maliën. Het wordt echter ook gebruikt voor een volledige uitrusting, waar het hemd een onderdeel van is.
scale mail		schubbenharnas		armor	harnassen		
breastplate		borstplaat		armor	harnassen		
half plate armor		halfplaat harnas		armor	harnassen		
ring mail		ringenharnas		armor	harnassen		
chain mail		maliënkolder		armor	harnassen		
splint armor		gespalkt harnas		armor	harnassen		Als iemand me een goede bron kan geven voor hoe je splint armour zou vertalen… Voor splint armour, ring armour en scale armour geldt dat ze historisch nooit wijd gebruikt zijn, dus het is moeilijk Nederlandstalige bronnen erover te vinden.
plate armor		plaatharnas		armor	harnassen		
shield		schild		armor	harnassen		
club		knuppel	knots	weapons	wapens		
dagger		dolk		weapons	wapens		
greatclub		grote knots		weapons	wapens		
handaxe		handbijl		weapons	wapens		
javelin		werpspeer		weapons	wapens		
light hammer		lichte hamer		weapons	wapens		
mace		strijdknots		weapons	wapens		
quarterstaff		staf		weapons	wapens		
sickle		sikkel		weapons	wapens		
spear		speer		weapons	wapens		
light crossbow		lichte kruisboog		weapons	wapens		
dart		pijltje		weapons	wapens		
shortbow		korte boog		weapons	wapens		
sling		slinger		weapons	wapens		
battleaxe		strijdbijl		weapons	wapens		
flail		vlegel		weapons	wapens		
glaive		gleve		weapons	wapens		
greataxe		grootbijl		weapons	wapens		
greatsword		tweehander		weapons	wapens		
halberd		hellebaard		weapons	wapens		
lance		lans		weapons	wapens		
longsword		langzwaard	slagzwaard	weapons	wapens		
maul		moker		weapons	wapens		
morningstar		morgenster		weapons	wapens		
pike		piek	goedendag	weapons	wapens		De goedendag is uitsluitend gebruikt door burgers in de lage landen, dus staat niet in het PHB. Als je hem in je campaign wilt, is mijn suggestie is om de stats van de pike te gebruiken (met een lagere prijs).
rapier		rapier		weapons	wapens		
scimitar		sabel		weapons	wapens		
shortsword		kortzwaard		weapons	wapens		
trident		drietand		weapons	wapens		
war pick		strijdhouweel		weapons	wapens		
warhammer		strijdhamer	krijgshamer	weapons	wapens		
whip		zweep		weapons	wapens		
blowgun		blaaspijp		weapons	wapens		
hand crossbow		handkruisboog		weapons	wapens		
heavy crossbow		zware kruisboog		weapons	wapens		
longbow		boog	langboog	weapons	wapens		
net		net		weapons	wapens		
abacus		telraam		adventuring gear	uitrusting		
acid		zuur		adventuring gear	uitrusting		
alchemist's fire		alchemistenvuur		adventuring gear	uitrusting		
ammunition		ammunitie		adventuring gear	uitrusting		
arrows	ammunition	pijlen		adventuring gear	uitrusting		
blowgun needles	ammunition	naalden voor blaaspijp		adventuring gear	uitrusting		
crossbow bolts	ammunition	bouten voor kruisboog		adventuring gear	uitrusting		
sling bullets	ammunition	slingerkogels		adventuring gear	uitrusting		
antitoxin		tegengif		adventuring gear	uitrusting		
arcane focus		esoterische focus		adventuring gear	uitrusting		
crystal	arcane focus	kristal		adventuring gear	uitrusting		
orb	arcane focus	bol		adventuring gear	uitrusting		
rod	arcane focus	roede		adventuring gear	uitrusting		
staff	arcane focus	toverstaf		adventuring gear	uitrusting		
wand	arcane focus	toverstok		adventuring gear	uitrusting		
backpack		rugzak		adventuring gear	uitrusting		
balll bearings		kogels	balletjes, knikkers	adventuring gear	uitrusting		Ball bearing verwijst hier naar de kogels die in een kogellager zitten. Naast balletje betekent kogel echter ook projectiel, dus dat is wellicht verwarrend. Knikkers zijn een ander ding dan ball bearings (nl. speelgoed), maar ze zouden hetzelfde functioneren.
barrel		ton		adventuring gear	uitrusting		
basket		mand		adventuring gear	uitrusting		
bedroll		slaapzak		adventuring gear	uitrusting		
bell		bel		adventuring gear	uitrusting		
blanket		deken		adventuring gear	uitrusting		
block and tackle		blok en takel		adventuring gear	uitrusting		
book		boek		adventuring gear	uitrusting		
bottle, glass		glazen fles		adventuring gear	uitrusting		
bucket		emmer		adventuring gear	uitrusting		
caltrops		kraaienpoten		adventuring gear	uitrusting		
candle		kaars		adventuring gear	uitrusting		
case, crossbow bolt		koker voor kruisboogbouten		adventuring gear	uitrusting		
case, map or scroll		koker voor kaart of perkamentrol		adventuring gear	uitrusting		
chain		ketting		adventuring gear	uitrusting		
chalk		krijtje		adventuring gear	uitrusting		
chest		kist		adventuring gear	uitrusting		
climber's kit		klimuitrusting		adventuring gear	uitrusting		
clothes		kleding		adventuring gear	uitrusting		
common clothes	clothes	gewone kleding		adventuring gear	uitrusting		
costume	clothes	kostuum		adventuring gear	uitrusting		
fine clothes	clothes	verfijnde kleding		adventuring gear	uitrusting		
traveller's clothes	clothes	reizigerskleding		adventuring gear	uitrusting		
component pouch		ingrediëntenbuidel		adventuring gear	uitrusting		
crowbar		koevoet		adventuring gear	uitrusting		
druidic focus		druïdefocus		adventuring gear	uitrusting		
sprig of mistletoe	druidic focus	maretak		adventuring gear	uitrusting		
totem	druidic focus	totem		adventuring gear	uitrusting		
wooden staff	druidic focus	houten staf		adventuring gear	uitrusting		
yew wand	druidic focus	taxus toverstok		adventuring gear	uitrusting		
fishing tackle		vishengel		adventuring gear	uitrusting		
flask		flacon		adventuring gear	uitrusting		
tankard		kroes		adventuring gear	uitrusting		
grappling hook		enterhaak		adventuring gear	uitrusting		
hammer		hamer		adventuring gear	uitrusting		
sledgehammer		moker		adventuring gear	uitrusting		
healer's kit		helerskit		adventuring gear	uitrusting		
holy symbol		heilig symbool		adventuring gear	uitrusting		
amulet	holy symbol	amulet		adventuring gear	uitrusting		
emblem	holy symbol	embleem		adventuring gear	uitrusting		
reliquary	holy symbol	reliek		adventuring gear	uitrusting		
holy water		wijwater		adventuring gear	uitrusting		
hourglass		zandloper		adventuring gear	uitrusting		
hunting trap		jagersval		adventuring gear	uitrusting		
ink		inkt		adventuring gear	uitrusting		
ink pen		inktpen		adventuring gear	uitrusting		
jug, pitcher		kan, kruik		adventuring gear	uitrusting		
ladder		ladder		adventuring gear	uitrusting		
lamp		lamp		adventuring gear	uitrusting		
lantern		lantaarn		adventuring gear	uitrusting		
bullseye lantern	lantern	ossenooglantaarn		adventuring gear	uitrusting		
hooded lantern	lantern	kaplantaarn		adventuring gear	uitrusting		
lock		slot		adventuring gear	uitrusting		
magnifying glass		vergrootglas		adventuring gear	uitrusting		
manacles		handboeien		adventuring gear	uitrusting		
mess kit		eetgerei		adventuring gear	uitrusting		
steel mirror		stalen spiegel		adventuring gear	uitrusting		
oil		olie		adventuring gear	uitrusting		
paper		papier		adventuring gear	uitrusting		
parchment		perkament		adventuring gear	uitrusting		
perfume		parfum		adventuring gear	uitrusting		
miner's pick		pikhouweel		adventuring gear	uitrusting		
piton		rotshaak	piton	adventuring gear	uitrusting		
poison		vergif		adventuring gear	uitrusting		
pole		pool		adventuring gear	uitrusting		
iron pot		ijzeren pot		adventuring gear	uitrusting		
potion of healing		helingselixer	elixer van heling	adventuring gear	uitrusting		
pouch		buidel		adventuring gear	uitrusting		
quiver		pijlenkoker		adventuring gear	uitrusting		
portable ram		draagbare ram		adventuring gear	uitrusting		
rations		rantsoen		adventuring gear	uitrusting		
robes		gewaad		adventuring gear	uitrusting		
hempen rope		hennep touw		adventuring gear	uitrusting		
silk rope		zijden touw		adventuring gear	uitrusting		
sack		zak		adventuring gear	uitrusting		
merchant's scale		weegschaal	handelaarsweegschaal	adventuring gear	uitrusting		
sealing wax		zegelwas		adventuring gear	uitrusting		
shovel		schep		adventuring gear	uitrusting		
signal whistle		fluitje		adventuring gear	uitrusting		
signet ring		zegelring		adventuring gear	uitrusting		
soap		zeep		adventuring gear	uitrusting		
spellbook		spreukenboek		adventuring gear	uitrusting		
iron spikes		ijzeren nagels		adventuring gear	uitrusting		
spyglass		kijker	verrekijker	adventuring gear	uitrusting		
two-person tent		tweepersoons tent		adventuring gear	uitrusting		
tinderbox		tondeldoos		adventuring gear	uitrusting		
torch		fakkel		adventuring gear	uitrusting		
vial		flesje		adventuring gear	uitrusting		
waterskin		veldfles		adventuring gear	uitrusting		
whetstone		wetsteen		adventuring gear	uitrusting		
artisan's tools		ambachtsgereedschap	vakgereedschap	tools	gereedschap		
alchemist's supplies	artisan's tools	alchemiebenodigdheden		tools	gereedschap		
brewer's supplies	artisan's tools	brouwersbenodigdheden		tools	gereedschap		
calligrapher's supplies	artisan's tools	kalligrafiebenodigdheden		tools	gereedschap		
carpenter's tools	artisan's tools	timmergereedschap		tools	gereedschap		
cartographer's tools	artisan's tools	cartografiegereedschap		tools	gereedschap		
cobbler's tools	artisan's tools	schoenmakersgereedschap		tools	gereedschap		
cook's utensils	artisan's tools	koksgerei		tools	gereedschap		
glassblower's tools	artisan's tools	glasblazersgereedschap		tools	gereedschap		
jeweler's tools	artisan's tools	juweliersgereedschap		tools	gereedschap		
leatherworker's tools	artisan's tools	leerwerkersgereedschap		tools	gereedschap		
mason's tools	artisan's tools	steenhouwgereedschap		tools	gereedschap		
painter's supplies	artisan's tools	schilderbenodigdheden		tools	gereedschap		
potter's tools	artisan's tools	pottersgereedschap		tools	gereedschap		
smith's tools	artisan's tools	smeedgerei		tools	gereedschap		
tinker's tools	artisan's tools	klusgereedschap		tools	gereedschap		
weaver's tools	artisan's tools	weefgerei		tools	gereedschap		
woodcarver's tools	artisan's tools	houtsnijdersgereedschap		tools	gereedschap		
disguise kit		vermommingsgerei		tools	gereedschap		
forgery kit		vervalsingsgereedschap		tools	gereedschap		
gaming set		spelletje		tools	gereedschap		
dice set	gaming set	dobbelstenen		tools	gereedschap		
dragonchesss set	gaming set	drakenschaakspel		tools	gereedschap		
playing card set	gaming set	speelkaarten		tools	gereedschap		
three-dragon ante set	gaming set	draakje-draakjeset	drie-drakenset	tools	gereedschap		Ik vermoed dat de naam Three-Dragon Ante oorspronkelijk een variatie was op Three-Card Monte. Ik heb dat vertaald naar draakje-draakje, analoog aan balletje-balletje. Wizards of the Coast heeft in 2005 een Three-Dragon Ante kaartspel uitgebracht, dat verder niets met Three-Card Monte te maken heeft. Ik heb die naam vertaald naar Drie Draken. Welke vertaling beter is, hangt af van hoe het spel wordt ingevuld in de campaign.
herbalism kit		kruideniersgerei		tools	gereedschap		
musical instrument		muziekinstrument		tools	gereedschap		
bagpipes	musical instrument	doedelzak		tools	gereedschap		
drum	musical instrument	trommel		tools	gereedschap		
dulcimer	musical instrument	hakkebord	citer	tools	gereedschap		
flute	musical instrument	fluitje		tools	gereedschap		
lute	musical instrument	luit		tools	gereedschap		
lyre	musical instrument	lier		tools	gereedschap		
horn	musical instrument	hoorn		tools	gereedschap		
pan flute	musical instrument	panfluit		tools	gereedschap		
shawm	musical instrument	schalmei		tools	gereedschap		
viol	musical instrument	viola		tools	gereedschap		
navigator's tools		navigatiegereedschap		tools	gereedschap		
poisoner's kit		gifmengersgerei		tools	gereedschap		
thieves' tools		dievengereedschap		tools	gereedschap		
land vehicles		voertuigen		tools	gereedschap		
water vehicles		vaartuigen		tools	gereedschap		
camel		kameel		mounts and vehicles	rijdieren, voertuigen en vaartuigen		
donkey		ezel		mounts and vehicles	rijdieren en voertuigen		
mule		muildier / muilezel		mounts and vehicles	rijdieren en voertuigen		
elephant		olifant		mounts and vehicles	rijdieren en voertuigen		
draft horse		trekpaard		mounts and vehicles	rijdieren en voertuigen		
riding horse		rijpaard		mounts and vehicles	rijdieren en voertuigen		
mastiff		molosser	mastiff	mounts and vehicles	rijdieren en voertuigen		
pony		pony		mounts and vehicles	rijdieren en voertuigen		
warhorse		strijdros		mounts and vehicles	rijdieren en voertuigen		
barding		harnas		mounts and vehicles	rijdieren en voertuigen		
bit and bridle		bit en hoofdstel		mounts and vehicles	rijdieren en voertuigen		
carriage		koets		mounts and vehicles	rijdieren en voertuigen		
cartographer's tools		kar		mounts and vehicles	rijdieren en voertuigen		
chariot		strijdwagen		mounts and vehicles	rijdieren en voertuigen		
feed		voer		mounts and vehicles	rijdieren en voertuigen		
saddle		zadel		mounts and vehicles	rijdieren en voertuigen		
exotic saddle	saddle	exotisch zadel		mounts and vehicles	rijdieren en voertuigen		
military saddle	saddle	militair zadel		mounts and vehicles	rijdieren en voertuigen		
pack saddle	saddle	pakzadel		mounts and vehicles	rijdieren en voertuigen		
riding saddle	saddle	rijzadel		mounts and vehicles	rijdieren en voertuigen		
saddlebags		zadeltassen		mounts and vehicles	rijdieren en voertuigen		
sledgehammer		slee		mounts and vehicles	rijdieren en voertuigen		
stabling		opstallen		mounts and vehicles	rijdieren en voertuigen		
wagon		wagen		mounts and vehicles	rijdieren en voertuigen		
galley		galei		mounts and vehicles	rijdieren en voertuigen		
keelboat		binnenschip	praam, klein zeilschip	mounts and vehicles	rijdieren en voertuigen		Keelboat is de naam voor meerdere soorten schepen, waaronder een specifiek soort binnenschip (schip voor rivieren en kanalen) uit de Amerikaanse geschiedenis, dat meestal voortbewogen werd door te bomen. De praam is een Nederlands binnenschip dat enigszins vergelijkbaar is. De Ghosts of Saltmarsh uitbreiding realiseert de keelboat echter als een klein zeilschip voor op zee.
longship		langschip		mounts and vehicles	rijdieren en voertuigen		
rowboat		roeiboot		mounts and vehicles	rijdieren en voertuigen		
sailing ship		zeilschip		mounts and vehicles	rijdieren en voertuigen		
warship		oorglogsschip		mounts and vehicles	rijdieren en voertuigen		
Acid splash		Zuurspat		spells	spreuken		
Aid		Hulp		spells	spreuken		
Alarm		Alarm		spells	spreuken		
Alter Self		Zelf Veranderen		spells	spreuken		
Animal Friendship		Dierenvriend		spells	spreuken		
Animal Messenger		Dierenboodschapper		spells	spreuken		
Animal Shapes		Dierenvormen		spells	spreuken		
Animate Dead		Doden Ontwaken		spells	spreuken		
Animate Objects		Voorwerpen Ontwaken		spells	spreuken		
Antilife Shell		Levensstoppende Schulp		spells	spreuken		
Antimagic Field		Antimagisch Veld		spells	spreuken		
Antipathy/Sympathy		Antipathie/Sympathie		spells	spreuken		
Arcane Eye		Esoterisch Oog		spells	spreuken		
Arcane Gate		Esoterische Poort		spells	spreuken		
Arcane Lock		Magisch Slot		spells	spreuken		
Armor of Agathys		Harnas van Agathys		spells	spreuken		
Arms of Hadar		Armen van Hadaar		spells	spreuken		
Astral Projection		Astrale Projectie		spells	spreuken		
Augury		Wichelarij		spells	spreuken		
Aura of Life		Aura van Leven		spells	spreuken		
Aura of Purity		Aura van Zuiverheid		spells	spreuken		
Aura of Vitality		Aura van Vitaliteit		spells	spreuken		
Awaken		Ontwaken		spells	spreuken		
Bane		Vloek		spells	spreuken		
Banishing Smite		Verbannende Slag		spells	spreuken		
Banishment		Verbanning		spells	spreuken		
Barkskin		Huid van Bast		spells	spreuken		
Beacon of Hope		Baken van Hoop		spells	spreuken		
Beast Sense		Beestenzintuig		spells	spreuken		
Bestow Curse		Vloek Plaatsen		spells	spreuken		
Bigby’s Hand		Hand van Biggebij	Hand van Reuzema	spells	spreuken		
Blade Barrier		Klingbarrière		spells	spreuken		
Blade Ward		Klinghoede	Slagenhoede	spells	spreuken		
Bless		Zegenen		spells	spreuken		
Blight		Plaag		spells	spreuken		Blight is een verzamelterm voor verschillende plantenziekten. Ik kon echter geen goed Nederlands equivalent vinden
Blinding Smite		Verblindende Slag		spells	spreuken		
Blindness/Deafness		Blindheid/Doofheid		spells	spreuken		
Blink		Flikkering		spells	spreuken		
Blur		Vervagen		spells	spreuken		
Branding Smite		Merkende Slag		spells	spreuken		
Burning Hands		Brandende Handen		spells	spreuken		
Call Lightning		Bliksem Aanroepen		spells	spreuken		
Calm Emotions		Emoties Kalmeren		spells	spreuken		
Chain Lightning		Kettingbliksem		spells	spreuken		
